15391,0
15318,1
15442,2
106,3
7,4
8,5
78,6
112,7
87,8
18,9
91,10
13,11
6,12
115,13
29,14
117,15
31,16
73,17
46,18
75,19
47,20
34399,21
23,22
53,23
67,24
15356,25
18172,26
15411,27
15516,28
15378,29
15399,30
15497,31
15476,32
100936,33
2,34
9,35
40,36
111,37
108,38
16,39
83,40
100943,41
100934,42
4,43
44,44
100942,45
98,46
107,47
57,48
104,49
95,50
30,51
19,52
4657,53
26,54
68,55
60,56
41,57
14,58
10481,59
65,60
11,61
34,62
77,63
15509,64
15361,65
18167,66
15413,67
15398,68
15374,69
18173,70
15430,71
15506,72
89,73
15489,74
15452,75
15441,76
15525,77
59,78
100,79
85,80
64,81
33,82
55,83
15386,84
100940,85
81,86
92,87
102,88
56,89
100941,90
48,91
58,92
100938,93
68321,94
101372,95
15484,96
15493,97
15504,98
101374,99
15481,100
15385,101
119,102
10,103
110,104
15515,105
15444,106
15335,107
52,108
42,109
100931,110
34364,111
15500,112
15418,113
61,114
15446,115
74,116
100929,117
7492,118
118,119
39,120
18169,121
15470,122
15510,123
15421,124
36,125
35,126
15445,127
15350,128
15341,129
100939,130
109,131
4656,132
63,133
15372,134
15433,135
21248,136
15371,137
15323,138
15326,139
15485,140
15393,141
15440,142
15508,143
15387,144
103,145
1,146
100944,147
15365,148
15415,149
34400,150
15358,151
15319,152
15457,153
15432,154
15455,155
15357,156
15434,157
15450,158
15417,159
15337,160
15345,161
15424,162
15423,163
15522,164
15321,165
79,166
15390,167
18165,168
15466,169
80,170
34362,171
100930,172
18176,173
15448,174
15395,175
15376,176
18175,177
15388,178
15327,179
15316,180
15351,181
15502,182
100935,183
13069,184
34397,185
15383,186
15333,187
15458,188
15338,189
15329,190
15492,191
15379,192
15511,193
15427,194
15478,195
15483,196
15425,197
100945,198
15473,199
15389,200
15518,201
15480,202
15313,203
15362,204
15431,205
15463,206
15453,207
15405,208
15428,209
15370,210
101356,211
15409,212
15521,213
15339,214
101600,215
15471,216
15429,217
15499,218
15317,219
15482,220
101367,221
15454,222
15491,223
15479,224
15410,225
101452,226
15377,227
15416,228
15519,229
15359,230
18171,231
101352,232
15475,233
15344,234
15336,235
15331,236
15353,237
15355,238
101371,239
101329,240
15436,241
15406,242
15487,243
15360,244
100927,245
101351,246
15334,247
15384,248
15332,249
